p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	1.33509277283835	0.336	0.098	0	APOBEC3H	c10
2.53538990180112e-286	1.11848573672234	0.585	0.26	8.5031906526606e-282	MT1E	c10
1.53959529540148e-226	1.14474148761746	0.375	0.141	5.16349470171747e-222	IL9R	c10
1.03306696134506e-222	0.669074788274238	0.975	0.802	3.46469997495906e-218	COTL1	c10
9.17635985701266e-218	0.523494379876654	0.998	0.958	3.0775675688449e-213	CD74	c10
6.58041703494901e-214	1.15524005577334	0.276	0.09	2.2069402651812e-209	BCAT1	c10
4.21372751354638e-202	0.705204490075458	0.731	0.397	1.41319993349318e-197	CXCR3	c10
1.05319548299387e-199	0.608875063967733	0.91	0.607	3.53220701086483e-195	HLA-DRA	c10
5.83138948349338e-193	0.687229538153838	0.579	0.271	1.95573140497401e-188	GALM	c10
1.58364835515355e-187	0.506553140514446	0.974	0.819	5.31123985351397e-183	ATP5MC2	c10
6.79061166219772e-184	0.717498571983741	0.954	0.733	2.27743533926787e-179	NKG7	c10
2.22163972123272e-183	0.721407127941738	0.579	0.279	7.45093529707031e-179	HLA-DMA	c10
2.55447747034045e-183	0.70524676627488	0.706	0.385	8.56720654002779e-179	GYG1	c10
5.54928540153053e-181	0.500300043309553	0.994	0.93	1.86111933796531e-176	CCL5	c10
2.14297666730492e-180	0.737921125700884	0.689	0.388	7.18711514680723e-176	GZMA	c10
5.67453457537515e-180	0.563270265770777	0.941	0.715	1.90312540588932e-175	LSP1	c10
8.84145229019282e-180	1.37294228576613	0.192	0.056	2.96524626908487e-175	CD38	c10
5.20911362824611e-178	0.534525688891275	0.952	0.756	1.74703252864118e-173	CORO1A	c10
6.1084889769614e-178	0.775503916151983	0.559	0.272	2.04866503309331e-173	IFI6	c10
2.99490451832969e-176	1.00081960799717	0.249	0.084	1.00443107735741e-171	PYCARD	c10
5.7570905235468e-176	0.916790712886534	0.295	0.108	1.93081301978713e-171	MYL6B	c10
4.79904238469685e-175	0.745298886926975	0.453	0.199	1.60950283497963e-170	EIF4EBP1	c10
5.76146473074368e-172	0.648304196029087	0.607	0.308	1.93228004139682e-167	MT1F	c10
7.34649003210516e-172	0.567707115592552	0.897	0.62	2.46386582696743e-167	RAC2	c10
2.60495452270765e-171	0.651662569429822	0.552	0.26	8.73649647825693e-167	IFI27L2	c10
8.33793114261085e-169	0.584575829584139	0.597	0.294	2.79637534660883e-164	TNFSF10	c10
1.9728860201235e-167	0.533184747508452	0.942	0.693	6.61666513429019e-163	HLA-DPB1	c10
3.19552057795246e-165	0.895646347080982	0.329	0.131	1.0717136914337e-160	LIME1	c10
1.04236760408279e-163	0.654297311898083	0.449	0.2	3.49589247057287e-159	TRAF3IP3	c10
3.26654256850982e-161	0.671206646423828	0.432	0.191	1.09553304662682e-156	PTRHD1	c10
1.61198063700979e-158	0.625503553111485	0.824	0.513	5.40626066040345e-154	LY6E	c10
4.49973512807092e-157	0.659057154220203	0.488	0.23	1.50912116725243e-152	ITGAL	c10
1.40684076514158e-153	0.511288585782003	0.939	0.704	4.71826255813183e-149	HLA-DPA1	c10
4.26784205259318e-151	0.591931255835911	0.519	0.249	1.4313488675987e-146	MYO1G	c10
1.12327025854983e-148	0.861627019923918	0.281	0.109	3.76722379312442e-144	PTPN6	c10
7.46105581811865e-148	0.698757562767196	0.349	0.147	2.50228890028063e-143	CHCHD5	c10
1.58099260129045e-147	1.4549023912975	0.126	0.032	5.3023329862079e-143	RTP4	c10
4.11351289731323e-147	0.54302789601826	0.653	0.353	1.37958995550091e-142	CTSC	c10
1.83034591988777e-146	0.588962444496504	0.664	0.355	6.13861414611961e-142	SEPT9	c10
2.06664839474464e-145	0.93243208564956	0.252	0.095	6.93112538629458e-141	OAS1	c10
6.62375250580794e-145	0.624200901010047	0.545	0.278	2.22147411539787e-140	GIMAP4	c10
1.58813349808722e-144	0.608042501115957	0.765	0.457	5.3262821258849e-140	LAT	c10
2.18370354232911e-142	0.907321938188158	0.478	0.249	7.32370494026338e-138	LGALS1	c10
5.67158503318707e-141	0.496755079089502	0.908	0.635	1.90213618843028e-136	LDHB	c10
1.0387757361855e-137	0.60443158509089	0.709	0.428	3.48384606401892e-133	CD27	c10
3.1279824284825e-136	0.558788793901686	0.885	0.642	1.04906274686446e-131	S100A4	c10
3.32070674853289e-136	0.571413830100043	0.601	0.321	1.11369862932296e-131	TTC39C	c10
3.28385505578492e-135	0.587704116822763	0.604	0.334	1.10133930860915e-130	GALNT2	c10
5.24159795990456e-135	0.638509449691544	0.326	0.138	1.75792712379279e-130	SIT1	c10
1.0638423888779e-134	0.574544878251574	0.515	0.258	3.56791460381869e-130	ITGB2	c10
1.5479773911694e-134	0.547637478606192	0.492	0.242	5.19160657450393e-130	C12orf75	c10
1.22157008675311e-132	0.585017491609064	0.424	0.205	4.09690175695257e-128	SLC1A4	c10
1.12561308101472e-131	0.659597910039928	0.428	0.206	3.77508115110718e-127	CTSB	c10
2.84583339879951e-129	0.555962071951047	0.81	0.57	9.54435605289381e-125	GZMH	c10
6.6812920861263e-128	0.544194946597459	0.502	0.257	2.24077173984504e-123	PLSCR1	c10
2.87299988394381e-127	0.423214578563148	0.969	0.793	9.63546701077074e-123	IL32	c10
6.88278140100281e-126	0.556561892273117	0.397	0.184	2.30834722626832e-121	URM1	c10
8.37509080494255e-126	0.528023959126731	0.468	0.23	2.80883795416163e-121	ITGA1	c10
5.97619110090638e-125	0.581364680674116	0.447	0.22	2.00429497142198e-120	SPN	c10
6.10524227066253e-125	0.399016973450528	0.979	0.831	2.0475761527348e-120	HLA-DRB1	c10
2.42568490614788e-124	0.7384768420914	0.221	0.083	8.13526203823877e-120	CCR5	c10
2.67013244083958e-124	0.554517833933817	0.339	0.149	8.9550901800878e-120	RCSD1	c10
4.66216236653669e-124	0.748324705606761	0.318	0.142	1.56359601448908e-119	TNFSF4	c10
1.47479438971361e-123	0.577481452866078	0.408	0.193	4.94616542422149e-119	PGLS	c10
2.48870292214704e-123	0.536769139386025	0.634	0.352	8.34661186029675e-119	BIN1	c10
2.58413635252532e-123	0.520427357202224	0.465	0.23	8.66667649909943e-119	ZCRB1	c10
7.47175609948151e-122	0.644984557365985	0.326	0.146	2.50587756064411e-117	MCM5	c10
7.93046048428613e-122	0.487013185673105	0.518	0.262	2.65971783721988e-117	CASP4	c10
2.23437435151956e-121	0.565613518747842	0.364	0.166	7.49364470012628e-117	MPG	c10
6.49355046381945e-121	0.389403179902339	0.997	0.952	2.17780695455577e-116	PFN1	c10
1.16814596316584e-120	0.625693957306759	0.364	0.17	3.9177279312656e-116	LINC01943	c10
1.45735640761419e-120	0.748430276486364	0.251	0.102	4.88768191985648e-116	XAF1	c10
2.70264936354023e-120	0.808776625838666	0.244	0.098	9.06414543544121e-116	SAMD9L	c10
1.89227360990124e-119	0.387523195086322	0.962	0.749	6.34630723288678e-115	APOBEC3G	c10
1.08650299905422e-118	0.515453088316671	0.389	0.185	3.64391375822804e-114	EOMES	c10
3.28660331863574e-117	0.634280616814221	0.268	0.112	1.10226102100405e-112	HDDC2	c10
8.09967056440544e-117	0.545570263441219	0.419	0.203	2.7164675138903e-112	TMEM256	c10
2.18423772689473e-116	0.794061886328933	0.229	0.091	7.32549648845956e-112	SLC27A2	c10
2.26448166441337e-116	0.480397962201877	0.496	0.25	7.59461860610956e-112	NDUFB3	c10
2.51214754779703e-116	0.429819662223126	0.687	0.391	8.42524044580169e-112	APOBEC3C	c10
4.16468906366551e-116	0.575426723240551	0.721	0.434	1.39675341817214e-111	LAG3	c10
1.22746534147706e-115	0.441830639781959	0.91	0.684	4.11667326224576e-111	CD52	c10
2.13921814607499e-115	0.483712702559068	0.435	0.213	7.17450981830631e-111	ZNRF1	c10
2.86336403402688e-115	0.38919070335857	0.956	0.774	9.60315029731937e-111	PSME1	c10
4.33647455839468e-115	0.609926825948739	0.333	0.152	1.45436683739441e-110	JAKMIP1	c10
5.21384987509777e-115	0.495377596673604	0.588	0.323	1.74862097111029e-110	ANXA6	c10
2.88649966770992e-114	0.425252919259194	0.87	0.573	9.68074258556553e-110	PSMB9	c10
3.53838336640011e-114	0.858976586339333	0.195	0.073	1.18670301342327e-109	ZBTB32	c10
5.66443273560196e-114	0.444230921171204	0.843	0.56	1.89973745086619e-109	HCST	c10
6.35769761796412e-114	0.403329582716019	0.528	0.272	2.13224462711281e-109	S1PR4	c10
1.17189859887769e-113	0.509328214128209	0.465	0.237	3.93031352091601e-109	RASGRP1	c10
2.64627966066105e-113	0.529032292492549	0.338	0.155	8.87509272592502e-109	SIRPG	c10
3.98545149740186e-113	0.442621002860948	0.563	0.295	1.33664072319863e-108	PSMB10	c10
3.65342081364184e-112	0.307330530148764	0.997	0.943	1.2252842724792e-107	SH3BGRL3	c10
4.17054403115103e-112	0.609432072752954	0.272	0.116	1.39871705716743e-107	DECR1	c10
5.70080080235092e-112	0.481534547628972	0.688	0.406	1.91193457309245e-107	PRF1	c10
6.63676183334407e-112	0.474650848226007	0.539	0.286	2.22583718366693e-107	IDH2	c10
8.58535358909313e-112	0.445354364071846	0.834	0.549	2.87935588671005e-107	LCP1	c10
8.60233760928174e-112	0.5952989199133	0.302	0.134	2.88505198740091e-107	ETHE1	c10
1.64364275410076e-110	0.600229789881279	0.218	0.086	5.51244906870312e-106	RAB33A	c10
3.76923795435062e-110	0.508128890759818	0.48	0.246	1.26412702513011e-105	MRPL10	c10
5.1657658139432e-110	0.399122194429507	0.521	0.276	1.73249453868027e-105	MSC	c10
5.50595423195768e-110	0.487895800148959	0.438	0.219	1.84658693031397e-105	POLD4	c10
2.39074192886374e-109	0.561827819246088	0.385	0.189	8.01807028102322e-105	DUT	c10
3.59103490494111e-109	0.715485244689656	0.224	0.09	1.20436128641915e-104	SARDH	c10
